flags,intent,utterance,category,input_ids,attention_mask,labels
BMP,delete_account,I would like to know more about user account deletions,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2000, 2113, 2062, 2055, 5310, 4070, 3972, 20624, 5644, 102]"
BLQ,complaint,need to file a customer claim against ur organization,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 2342, 2000, 5371, 1037, 8013, 4366, 2114, 24471, 3029, 102]"
BI,change_order,how to change the last order I have made?,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2000, 2689, 1996, 2197, 2344, 1045, 2031, 2081, 1029, 102]"
BIP,edit_account,could you help me editing my account?,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 9260, 2026, 4070, 1029, 102]"
BIMP,place_order,where could I buy some of your item?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2071, 1045, 4965, 2070, 1997, 2115, 8875, 1029, 102]"
B,place_order,assistance to buy something,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 5375, 2000, 4965, 2242, 102]"
B,create_account,I try to create an account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 3443, 2019, 4070, 102]"
BLQ,recover_password,need help to recover the PIN of my account,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2342, 2393, 2000, 8980, 1996, 9231, 1997, 2026, 4070, 102]"
B,edit_account,I want assistance to edit my personal information,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 10086, 2026, 3167, 2592, 102]"
B,cancel_order,assistance cancelling an order,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 5375, 17542, 2989, 2019, 2344, 102]"
BI,place_order,where can I make an order?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2073, 2064, 1045, 2191, 2019, 2344, 1029, 102]"
BMP,delivery_options,I would like to check what delivery options are available,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2000, 4638, 2054, 6959, 7047, 2024, 2800, 102]"
BM,delivery_options,I need help checking what options for delivery I can choose,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 9361, 2054, 7047, 2005, 6959, 1045, 2064, 5454, 102]"
BI,review,where to leave a review for your company?,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 2073, 2000, 2681, 1037, 3319, 2005, 2115, 2194, 1029, 102]"
B,get_refund,help to get a refund,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2393, 2000, 2131, 1037, 25416, 8630, 102]"
BLQ,check_payment_methods,need to list ur available payment methods,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2342, 2000, 2862, 24471, 2800, 7909, 4725, 102]"
BEM,place_order,I do not know what I have to do to buy several of your item,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 1045, 2031, 2000, 2079, 2000, 4965, 2195, 1997, 2115, 8875, 102]"
B,track_order,check the status of my order,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 4638, 1996, 3570, 1997, 2026, 2344, 102]"
B,contact_human_agent,help me contacting an agent,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 3967, 2075, 2019, 4005, 102]"
BP,check_cancellation_fee,I don't know how I could check the cancellation fee,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2071, 4638, 1996, 16990, 7408, 102]"
BM,get_refund,I don't know how to get refunds,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 2000, 2131, 25416, 26698, 102]"
BQZ,newsletter_subscription,need help subscribing to your company nmewsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 2342, 2393, 4942, 11020, 3089, 10472, 2000, 2115, 2194, 23770, 9333, 27901, 2099, 102]"
BI,get_invoice,is it possible to get the invoice?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 2131, 1996, 1999, 6767, 6610, 1029, 102]"
BIP,delivery_period,would you give me information about delivery period?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2052, 2017, 2507, 2033, 2592, 2055, 6959, 2558, 1029, 102]"
BIM,registration_problems,is it possible to report registration issues?,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 3189, 8819, 3314, 1029, 102]"
BILQ,recover_password,how can i get information about the password reset,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 2131, 2592, 2055, 1996, 20786, 25141, 102]"
BIP,set_up_shipping_address,could you help me to set up a different shipping address?,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2000, 2275, 2039, 1037, 2367, 7829, 4769, 1029, 102]"
BM,change_order,I can't add some items to an order,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2064, 1005, 1056, 5587, 2070, 5167, 2000, 2019, 2344, 102]"
BIL,complaint,can I make a consumer reclamation against your organization?,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 2064, 1045, 2191, 1037, 7325, 27389, 2114, 2115, 3029, 1029, 102]"
BM,check_invoice,help me find the invoices from April,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2424, 1996, 1999, 6767, 23522, 2013, 2258, 102]"
BE,place_order,I do not know what to do to make a purchase,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 2000, 2079, 2000, 2191, 1037, 5309, 102]"
BIL,recover_password,can you give me information about my PIN reset?,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2507, 2033, 2592, 2055, 2026, 9231, 25141, 1029, 102]"
B,delivery_period,I need assistance to check when my item is going to arrive,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 5375, 2000, 4638, 2043, 2026, 8875, 2003, 2183, 2000, 7180, 102]"
BILQ,complaint,where to make a claim,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 2073, 2000, 2191, 1037, 4366, 102]"
BM,recover_password,problem with forgotten passwords,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 3291, 2007, 6404, 20786, 2015, 102]"
B,switch_account,I try to switch to another account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 3046, 2000, 6942, 2000, 2178, 4070, 102]"
BIP,track_order,how could I track the last order?,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 2650, 1996, 2197, 2344, 1029, 102]"
BI,delivery_period,is it possible to check when my delivery is going to arrive?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2003, 2009, 2825, 2000, 4638, 2043, 2026, 6959, 2003, 2183, 2000, 7180, 1029, 102]"
B,track_refund,help me checking the status of my refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 9361, 1996, 3570, 1997, 2026, 25416, 8630, 102]"
BIL,check_payment_methods,how can I see your payment methods?,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 2156, 2115, 7909, 4725, 1029, 102]"
BM,change_order,problems with changing my last order,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 3471, 2007, 5278, 2026, 2197, 2344, 102]"
BLZ,newsletter_subscription,assistance cancelling the subscription tl the newsletter,NEWSLETTER,"[101, 17178, 1035, 15002, 102]","[1, 1, 1, 1, 1]","[101, 5375, 17542, 2989, 1996, 15002, 1056, 2140, 1996, 17178, 102]"
BM,place_order,help to buy some items,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2393, 2000, 4965, 2070, 5167, 102]"
BIL,create_account,what do I need to do to create another online account?,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2342, 2000, 2079, 2000, 3443, 2178, 3784, 4070, 1029, 102]"
BL,contact_human_agent,I need help to chat with someone,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 11834, 2007, 2619, 102]"
BILM,edit_account,what do I have to do to change some of my personal details?,ACCOUNT,"[101, 10086, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2054, 2079, 1045, 2031, 2000, 2079, 2000, 2689, 2070, 1997, 2026, 3167, 4751, 1029, 102]"
BIP,delivery_period,how could I check when my delivery is going to arrive?,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 4638, 2043, 2026, 6959, 2003, 2183, 2000, 7180, 1029, 102]"
BIMP,registration_problems,how could I report registration issues?,ACCOUNT,"[101, 8819, 1035, 3471, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 3189, 8819, 3314, 1029, 102]"
BP,track_refund,I don't know how I could check my refund status,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2071, 4638, 2026, 25416, 8630, 3570, 102]"
B,track_refund,check if there is anything new on my refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 4638, 2065, 2045, 2003, 2505, 2047, 2006, 2026, 25416, 8630, 102]"
BM,set_up_shipping_address,issues setting a different shipping address up,SHIPPING_ADDRESS,"[101, 2275, 1035, 2039, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1, 1, 1]","[101, 3314, 4292, 1037, 2367, 7829, 4769, 2039, 102]"
B,track_refund,help me to check the status of my refund,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 4638, 1996, 3570, 1997, 2026, 25416, 8630, 102]"
BI,delete_account,can you help me deleting an account?,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 3972, 20624, 3070, 2019, 4070, 1029, 102]"
BEM,payment_issue,I do not know how I can report payment issues,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 3189, 7909, 3314, 102]"
BIP,place_order,how could I make a purchase?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2071, 1045, 2191, 1037, 5309, 1029, 102]"
BIMP,check_invoice,could you help me checking the invoices from 1 months ago?,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 9361, 1996, 1999, 6767, 23522, 2013, 1015, 2706, 3283, 1029, 102]"
B,change_shipping_address,I am trying to change the shipping address,SHIPPING_ADDRESS,"[101, 2689, 1035, 7829, 1035, 4769, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2572, 2667, 2000, 2689, 1996, 7829, 4769, 102]"
B,review,I call to leave a review for a service,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 1045, 2655, 2000, 2681, 1037, 3319, 2005, 1037, 2326, 102]"
BM,place_order,assistance buying several of your item,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 5375, 9343, 2195, 1997, 2115, 8875, 102]"
BI,create_account,how can I create an account?,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2064, 1045, 3443, 2019, 4070, 1029, 102]"
B,recover_password,I have got to recover my password,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 2288, 2000, 8980, 2026, 20786, 102]"
BL,contact_human_agent,I want assistance chatting with a human agent,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 22331, 2007, 1037, 2529, 4005, 102]"
B,track_refund,I want assistance checking the refund status,REFUND,"[101, 2650, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 9361, 1996, 25416, 8630, 3570, 102]"
B,get_refund,I have to get a refund of money,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2031, 2000, 2131, 1037, 25416, 8630, 1997, 2769, 102]"
B,delivery_period,information about the delivery period,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2592, 2055, 1996, 6959, 2558, 102]"
B,delivery_options,problem with the options for delivery,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 3291, 2007, 1996, 7047, 2005, 6959, 102]"
BKL,complaint,lodge complaint against your organization,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 7410, 12087, 2114, 2115, 3029, 102]"
BIM,get_invoice,can you help me getting my invoices?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 2893, 2026, 1999, 6767, 23522, 1029, 102]"
BM,get_invoice,I want help getting my invoices,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 2893, 2026, 1999, 6767, 23522, 102]"
BI,delivery_options,can you help me to check the options for delivery?,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 2000, 4638, 1996, 7047, 2005, 6959, 1029, 102]"
BLQ,check_payment_methods,i need help to see what payment options are available,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 2156, 2054, 7909, 7047, 2024, 2800, 102]"
BILQ,check_cancellation_fee,how to see the withdrawal charge,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2000, 2156, 1996, 10534, 3715, 102]"
BMP,change_order,I would like to add several items to an order,ORDER,"[101, 2689, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2052, 2066, 2000, 5587, 2195, 5167, 2000, 2019, 2344, 102]"
BL,create_account,I need help to open a new freemium account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 2330, 1037, 2047, 2489, 27759, 4070, 102]"
B,contact_customer_service,customer service mail,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 8013, 2326, 5653, 102]"
BI,recover_password,how do I recover my password?,ACCOUNT,"[101, 8980, 1035, 20786, 102]","[1, 1, 1, 1, 1]","[101, 2129, 2079, 1045, 8980, 2026, 20786, 1029, 102]"
BE,delete_account,I do not know what to do to delete my account,ACCOUNT,"[101, 3972, 12870, 1035, 4070, 102]","[1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2054, 2000, 2079, 2000, 3972, 12870, 2026, 4070, 102]"
BIMP,place_order,could you help me to buy a few of your item?,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 2071, 2017, 2393, 2033, 2000, 4965, 1037, 2261, 1997, 2115, 8875, 1029, 102]"
B,track_order,I need help to track the last order,ORDER,"[101, 2650, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2342, 2393, 2000, 2650, 1996, 2197, 2344, 102]"
BIP,get_refund,would it be possible to get a refund?,REFUND,"[101, 2131, 1035, 25416, 8630, 102]","[1, 1, 1, 1, 1, 1]","[101, 2052, 2009, 2022, 2825, 2000, 2131, 1037, 25416, 8630, 1029, 102]"
BI,review,what do I have to do to leave a review for your company?,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 2054, 2079, 1045, 2031, 2000, 2079, 2000, 2681, 1037, 3319, 2005, 2115, 2194, 1029, 102]"
B,cancel_order,I have a question about canceling the last order I made,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2031, 1037, 3160, 2055, 17542, 2075, 1996, 2197, 2344, 1045, 2081, 102]"
BM,payment_issue,assistance reporting payment issues,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 5375, 7316, 7909, 3314, 102]"
B,cancel_order,assistance cancelling my order,ORDER,"[101, 17542, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 5375, 17542, 2989, 2026, 2344, 102]"
BM,payment_issue,I want help solving payment issues,PAYMENT,"[101, 7909, 1035, 3277, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2393, 13729, 7909, 3314, 102]"
BM,place_order,I don't know what I need to do to buy a few of your item,ORDER,"[101, 2173, 1035, 2344, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2054, 1045, 2342, 2000, 2079, 2000, 4965, 1037, 2261, 1997, 2115, 8875, 102]"
BIP,check_cancellation_fee,where could I check the cancellation fee?,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2071, 1045, 4638, 1996, 16990, 7408, 1029, 102]"
BL,switch_account,assistance using my new user profile,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 5375, 2478, 2026, 2047, 5310, 6337, 102]"
BIM,check_cancellation_fee,where do I check the cancellation fees?,CANCELLATION_FEE,"[101, 4638, 1035, 16990, 1035, 7408, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2079, 1045, 4638, 1996, 16990, 9883, 1029, 102]"
BM,delivery_options,I want to check what options for delivery I can choose,DELIVERY,"[101, 6959, 1035, 7047, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2215, 2000, 4638, 2054, 7047, 2005, 6959, 1045, 2064, 5454, 102]"
B,review,I need help leaving a review for your services,FEEDBACK,"[101, 3319, 102]","[1, 1, 1]","[101, 1045, 2342, 2393, 2975, 1037, 3319, 2005, 2115, 2578, 102]"
B,check_invoice,I want assistance to find the invoice from last month,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 2000, 2424, 1996, 1999, 6767, 6610, 2013, 2197, 3204, 102]"
BLP,create_account,I don't know how I could create another standard account,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2123, 1005, 1056, 2113, 2129, 1045, 2071, 3443, 2178, 3115, 4070, 102]"
BI,contact_customer_service,how do I check what hours customer service available is?,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2129, 2079, 1045, 4638, 2054, 2847, 8013, 2326, 2800, 2003, 1029, 102]"
BEL,check_payment_methods,I do not know how I can list the accepted payment options,PAYMENT,"[101, 4638, 1035, 7909, 1035, 4725, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 1045, 2064, 2862, 1996, 3970, 7909, 7047, 102]"
B,switch_account,I can't switch to another account,ACCOUNT,"[101, 6942, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 2064, 1005, 1056, 6942, 2000, 2178, 4070, 102]"
BLQ,contact_customer_service,wanna check at what time i can reach customer service,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 10587, 4638, 2012, 2054, 2051, 1045, 2064, 3362, 8013, 2326, 102]"
BELQW,complaint,i do not know how to make a fucking consumer reclamation,FEEDBACK,"[101, 12087, 102]","[1, 1, 1]","[101, 1045, 2079, 2025, 2113, 2129, 2000, 2191, 1037, 8239, 7325, 27389, 102]"
BIP,get_invoice,where could I get the invoice from my last purchase?,INVOICE,"[101, 2131, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2073, 2071, 1045, 2131, 1996, 1999, 6767, 6610, 2013, 2026, 2197, 5309, 1029, 102]"
BM,check_invoice,I want assistance checking the invoices,INVOICE,"[101, 4638, 1035, 1999, 6767, 6610, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2215, 5375, 9361, 1996, 1999, 6767, 23522, 102]"
BLQ,create_account,I'm trying to open a different online account for my mother,ACCOUNT,"[101, 3443, 1035, 4070, 102]","[1, 1, 1, 1, 1]","[101, 1045, 1005, 1049, 2667, 2000, 2330, 1037, 2367, 3784, 4070, 2005, 2026, 2388, 102]"
BIL,contact_human_agent,can you help me speaking with an agent?,CONTACT,"[101, 3967, 1035, 2529, 1035, 4005, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2064, 2017, 2393, 2033, 4092, 2007, 2019, 4005, 1029, 102]"
B,check_refund_policy,I have to check in what cases can I ask to be refunded,REFUND,"[101, 4638, 1035, 25416, 8630, 1035, 3343, 102]","[1, 1, 1, 1, 1, 1, 1, 1]","[101, 1045, 2031, 2000, 4638, 1999, 2054, 3572, 2064, 1045, 3198, 2000, 2022, 25416, 8630, 2098, 102]"
BLQ,contact_customer_service,help me to see what hours i can reach customer service,CONTACT,"[101, 3967, 1035, 8013, 1035, 2326, 102]","[1, 1, 1, 1, 1, 1, 1]","[101, 2393, 2033, 2000, 2156, 2054, 2847, 1045, 2064, 3362, 8013, 2326, 102]"
BM,delivery_period,information about the delivery periods,DELIVERY,"[101, 6959, 1035, 2558, 102]","[1, 1, 1, 1, 1]","[101, 2592, 2055, 1996, 6959, 6993, 102]"
