flags,utterance,category,intent
BMP,I would like to know more about user account deletions,ACCOUNT,delete_account
BLQ,need to file a customer claim against ur organization,FEEDBACK,complaint
BI,how to change the last order I have made?,ORDER,change_order
BIP,could you help me editing my account?,ACCOUNT,edit_account
BIMP,where could I buy some of your item?,ORDER,place_order
B,assistance to buy something,ORDER,place_order
B,I try to create an account,ACCOUNT,create_account
BLQ,need help to recover the PIN of my account,ACCOUNT,recover_password
B,I want assistance to edit my personal information,ACCOUNT,edit_account
B,assistance cancelling an order,ORDER,cancel_order
BI,where can I make an order?,ORDER,place_order
BMP,I would like to check what delivery options are available,DELIVERY,delivery_options
BM,I need help checking what options for delivery I can choose,DELIVERY,delivery_options
BI,where to leave a review for your company?,FEEDBACK,review
B,help to get a refund,REFUND,get_refund
BLQ,need to list ur available payment methods,PAYMENT,check_payment_methods
BEM,I do not know what I have to do to buy several of your item,ORDER,place_order
B,check the status of my order,ORDER,track_order
B,help me contacting an agent,CONTACT,contact_human_agent
BP,I don't know how I could check the cancellation fee,CANCELLATION_FEE,check_cancellation_fee
BM,I don't know how to get refunds,REFUND,get_refund
BQZ,need help subscribing to your company nmewsletter,NEWSLETTER,newsletter_subscription
BI,is it possible to get the invoice?,INVOICE,get_invoice
BIP,would you give me information about delivery period?,DELIVERY,delivery_period
BIM,is it possible to report registration issues?,ACCOUNT,registration_problems
BILQ,how can i get information about the password reset,ACCOUNT,recover_password
BIP,could you help me to set up a different shipping address?,SHIPPING_ADDRESS,set_up_shipping_address
BM,I can't add some items to an order,ORDER,change_order
BIL,can I make a consumer reclamation against your organization?,FEEDBACK,complaint
BM,help me find the invoices from April,INVOICE,check_invoice
BE,I do not know what to do to make a purchase,ORDER,place_order
BIL,can you give me information about my PIN reset?,ACCOUNT,recover_password
B,I need assistance to check when my item is going to arrive,DELIVERY,delivery_period
BILQ,where to make a claim,FEEDBACK,complaint
BM,problem with forgotten passwords,ACCOUNT,recover_password
B,I try to switch to another account,ACCOUNT,switch_account
BIP,how could I track the last order?,ORDER,track_order
BI,is it possible to check when my delivery is going to arrive?,DELIVERY,delivery_period
B,help me checking the status of my refund,REFUND,track_refund
BIL,how can I see your payment methods?,PAYMENT,check_payment_methods
BM,problems with changing my last order,ORDER,change_order
